mapping, replan, sfc, mpc, df, 
1, 0.000141, 0.001892, 0.345542, 0.002148, 
0, 5.7e-05, 0.001451, 0.276, 0.000871, 
0, 0.000136, 0.001539, 0.229175, 0.000911, 
0, 0.000136, 0.001228, 0.252933, 0.00205, 
0, 0.000187, 0.001949, 0.344871, 0.001648, 
0, 0.000131, 0.001533, 0.258477, 0.000965, 
0, 8.7e-05, 0.001564, 0.334671, 0.001232, 
0, 5.7e-05, 0.001421, 0.233059, 0.001019, 
0, 4.3e-05, 0.001391, 0.301378, 0.000934, 
0, 0.000144, 0.001922, 0.285364, 0.001477, 
0, 0.000145, 0.002056, 0.339068, 0.001917, 
0, 0.00015, 0.0019, 0.242298, 0.001656, 
0, 0.000176, 0.001673, 0.339046, 0.013481, 
0, 7.1e-05, 0.001661, 0.422619, 0.001119, 
0, 6.7e-05, 0.001636, 0.32203, 0.011267, 
0, 5.8e-05, 0.001397, 0.399146, 0.00114, 
0, 0.000187, 0.001694, 0.362336, 0.001166, 
0, 5.5e-05, 0.001427, 0.412594, 0.010189, 
0, 5.9e-05, 0.001674, 0.319758, 0.001267, 
0, 5.3e-05, 0.001274, 0.392271, 0.000789, 
0, 7e-05, 0.001581, 0.316488, 0.001187, 
0, 5.6e-05, 0.001431, 0.355246, 0.000666, 
0, 6.3e-05, 0.001624, 0.282097, 0.001041, 
0, 0.000134, 0.001295, 0.224674, 0.000802, 
0, 6e-05, 0.002018, 0.323257, 0.001266, 
0, 0.000157, 0.001338, 0.236745, 0.001728, 
0, 0.00017, 0.002038, 0.35759, 0.012861, 
0, 0.000141, 0.001577, 0.250722, 0.001354, 
0, 0.000136, 0.00175, 0.24069, 0.001831, 
0, 0.000139, 0.001525, 0.240044, 0.001395, 
0, 0.000135, 0.00177, 0.238035, 0.001165, 
0, 0.000155, 0.002365, 0.275017, 0.009156, 
0, 0.000215, 0.002031, 0.317603, 0.002809, 
0, 2.8e-05, 0.001732, 0.277042, 0.001408, 
0, 3.7e-05, 0.001538, 0.271497, 0.000908, 
0, 2.6e-05, 0.001823, 0.281852, 0.001651, 
0, 2.7e-05, 0.001573, 0.282894, 0.001756, 
0, 5.8e-05, 0.001562, 0.238087, 0.009107, 
0, 0.000159, 0.00172, 0.262698, 0.001303, 
0, 0.000149, 0.001456, 0.239196, 0.001822, 
0, 0.000179, 0.002341, 0.26391, 0.001702, 
0, 0.000138, 0.002174, 0.354523, 0.011111, 
0, 0.000258, 0.003236, 0.365814, 0.002353, 
0, 0.000147, 0.001712, 0.32127, 0.0023, 
0, 0.000116, 0.001834, 0.241602, 0.001156, 
0, 0.000136, 0.002976, 0.368381, 0.002064, 
0, 0.000134, 0.001662, 0.252448, 0.001282, 
0, 0.000173, 0.002301, 0.328949, 0.001405, 
0, 0.000162, 0.002013, 0.344036, 0.001419, 
0, 0.000224, 0.003419, 0.573871, 0.002297, 
0, 0.000211, 0.00365, 0.51658, 0.002674, 
0, 0.000323, 0.005389, 1.07713, 0.004663, 
0, 0.000333, 0.005301, 0.714804, 0.002622, 
0, 0.000391, 0.005707, 0.989989, 0.004673, 
0, 0.000304, 0.005502, 0.715646, 0.003438, 
0, 0.000274, 0.004389, 0.607906, 0.002449, 
0, 0.000361, 0.005886, 0.696974, 0.003645, 
0, 0.000288, 0.003567, 0.710464, 0.003729, 
0, 0.000276, 0.004222, 0.729611, 0.003751, 
0, 0.000625, 0.003583, 0.741808, 0.022818, 
0, 0.000282, 0.00335, 0.653604, 0.003597, 
0, 0.000294, 0.003989, 0.716571, 0.004077, 
0, 0.00029, 0.003856, 0.708099, 0.004223, 
0, 0.00021, 0.003101, 0.61741, 0.112516, 
0, 0.000311, 0.003909, 0.704837, 0.004911, 
0, 0.000204, 0.003547, 0.715689, 0.023142, 
0, 0.00027, 0.004251, 0.707629, 0.003042, 
0, 0.000334, 0.004717, 0.950208, 0.023207, 
0, 0.000255, 0.003574, 0.707554, 0.093222, 
